"","source","target","weight","date"
"324","fa10-01-03","fa10-01-12",4,2010-09-01
"325","fa10-01-03","fa10-01-64",0,2010-09-01
"326","fa10-01-03","sp10-01-52",0,2010-09-01
"327","fa10-01-03","sp10-01-31",0,2010-09-01
"328","fa10-01-03","sp10-01-45",0,2010-09-01
"329","fa10-01-03","fa10-01-70",0,2010-09-01
"330","fa10-01-03","fa10-01-63",0,2010-09-01
"331","fa10-01-03","sp10-01-56",0,2010-09-01
"332","fa10-01-03","fa10-01-54",4,2010-09-01
"333","fa10-01-03","fa10-01-72",0,2010-09-01
"334","fa10-01-03","fa10-01-03",7,2010-09-01
"335","fa10-01-03","fa10-01-38",0,2010-09-01
"336","fa10-01-03","fa10-01-37",0,2010-09-01
"337","fa10-01-03","sp10-01-49",0,2010-09-01
"338","fa10-01-03","sp10-01-48",0,2010-09-01
"339","fa10-01-03","fa10-01-53",5,2010-09-01
"340","fa10-01-03","sp10-01-02",0,2010-09-01
"341","fa10-01-03","fa10-01-49",0,2010-09-01
"342","fa10-01-03","sp10-01-43",0,2010-09-01
"343","fa10-01-03","sp10-01-33",0,2010-09-01
"344","fa10-01-03","fa10-01-71",0,2010-09-01
"345","fa10-01-03","fa10-01-50",0,2010-09-01
"346","fa10-01-03","fa10-01-42",0,2010-09-01
"347","fa10-01-03","fa10-01-82",0,2010-09-01
"348","fa10-01-03","fa10-01-27",0,2010-09-01
"349","fa10-01-03","fa10-01-11",3,2010-09-01
"350","fa10-01-03","sp10-01-30",0,2010-09-01
"351","fa10-01-03","fa10-01-66",0,2010-09-01
"352","fa10-01-03","fa10-01-65",0,2010-09-01
"353","fa10-01-03","fa10-01-26",0,2010-09-01
"354","fa10-01-03","fa10-01-32",0,2010-09-01
"355","fa10-01-03","fa10-01-09",0,2010-09-01
"356","fa10-01-03","fa10-01-25",0,2010-09-01
"357","fa10-01-03","fa10-01-31",0,2010-09-01
"358","fa10-01-03","sp10-01-54",0,2010-09-01
"359","fa10-01-03","fa10-01-34",0,2010-09-01
"360","fa10-01-03","fa10-01-57",0,2010-09-01
"361","fa10-01-03","fa10-01-55",0,2010-09-01
"362","fa10-01-03","fa10-01-30",0,2010-09-01
"363","fa10-01-03","fa10-01-43",0,2010-09-01
"364","fa10-01-03","fa10-01-44",0,2010-09-01
"365","fa10-01-03","fa10-01-62",0,2010-09-01
"366","fa10-01-03","sp10-01-36",0,2010-09-01
"367","fa10-01-03","fa10-01-28",0,2010-09-01
"368","fa10-01-03","fa10-01-29",0,2010-09-01
"369","fa10-01-03","fa10-01-52",0,2010-09-01
"370","fa10-01-03","fa10-01-61",0,2010-09-01
"371","fa10-01-03","fa10-01-56",0,2010-09-01
"372","fa10-01-03","sp10-01-01",0,2010-09-01
"373","fa10-01-05","sp10-01-53",0,2010-09-01
"374","fa10-01-05","sp10-01-38",0,2010-09-01
"375","fa10-01-05","sp10-01-39",0,2010-09-01
"376","fa10-01-05","fa10-01-81",0,2010-09-01
"377","fa10-01-05","fa10-01-78",0,2010-09-01
"378","fa10-01-05","fa10-01-67",0,2010-09-01
"379","fa10-01-05","fa10-01-68",0,2010-09-01
"380","fa10-01-05","fa10-01-73",0,2010-09-01
"381","fa10-01-05","fa10-01-74",0,2010-09-01
"382","fa10-01-05","fa10-01-15",0,2010-09-01
"383","fa10-01-05","fa10-01-19",0,2010-09-01
"384","fa10-01-05","fa10-01-85",0,2010-09-01
"385","fa10-01-05","fa10-01-86",0,2010-09-01
"386","fa10-01-05","sp10-01-24",0,2010-09-01
"387","fa10-01-05","fa10-01-17",0,2010-09-01
"388","fa10-01-05","fa10-01-18",0,2010-09-01
"389","fa10-01-05","fa10-01-04",0,2010-09-01
"390","fa10-01-05","fa10-01-06",7,2010-09-01
"391","fa10-01-05","fa10-01-45",0,2010-09-01
"392","fa10-01-05","sp10-01-13",3,2010-09-01
"393","fa10-01-05","fa10-01-07",0,2010-09-01
"394","fa10-01-05","sp10-01-46",1,2010-09-01
"395","fa10-01-05","sp10-01-44",2,2010-09-01
"396","fa10-01-05","sp10-01-06",0,2010-09-01
"397","fa10-01-05","fa10-01-83",0,2010-09-01
"398","fa10-01-05","fa10-01-14",0,2010-09-01
"399","fa10-01-05","fa10-01-13",0,2010-09-01
"400","fa10-01-05","fa10-01-05",0,2010-09-01
"401","fa10-01-05","fa10-01-75",0,2010-09-01
"402","fa10-01-05","fa10-01-01",0,2010-09-01
"403","fa10-01-05","fa10-01-02",0,2010-09-01
"404","fa10-01-05","fa10-01-20",0,2010-09-01
"405","fa10-01-05","fa10-01-76",0,2010-09-01
"406","fa10-01-05","fa10-01-58",0,2010-09-01
"407","fa10-01-05","fa10-01-21",0,2010-09-01
"408","fa10-01-05","sp10-01-28",0,2010-09-01
"409","fa10-01-05","sp10-01-26",0,2010-09-01
"410","fa10-01-05","sp10-01-55",0,2010-09-01
"411","fa10-01-05","sp10-01-05",0,2010-09-01
"412","fa10-01-05","sp10-01-35",0,2010-09-01
"413","fa10-01-05","fa10-01-35",0,2010-09-01
"414","fa10-01-05","fa10-01-40",0,2010-09-01
"415","fa10-01-05","fa10-01-60",0,2010-09-01
"416","fa10-01-05","sp10-01-23",0,2010-09-01
"417","fa10-01-05","sp10-01-11",0,2010-09-01
"418","fa10-01-05","sp10-01-12",0,2010-09-01
"419","fa10-01-05","sp10-01-07",0,2010-09-01
"420","fa10-01-05","sp10-01-08",0,2010-09-01
"421","fa10-01-05","fa10-01-24",0,2010-09-01
"422","fa10-01-05","fa10-01-39",0,2010-09-01
"423","fa10-01-05","sp10-01-19",2,2010-09-01
"424","fa10-01-05","sp10-01-34",0,2010-09-01
"425","fa10-01-05","fa10-01-69",0,2010-09-01
"426","fa10-01-05","sp10-01-32",0,2010-09-01
"427","fa10-01-05","sp10-01-42",0,2010-09-01
"428","fa10-01-05","sp10-01-40",0,2010-09-01
"429","fa10-01-05","sp10-01-41",0,2010-09-01
"430","fa10-01-05","sp10-01-37",0,2010-09-01
"431","fa10-01-05","fa10-01-48",0,2010-09-01
"432","fa10-01-05","fa10-01-47",0,2010-09-01
"433","fa10-01-05","fa10-01-59",0,2010-09-01
"434","fa10-01-05","fa10-01-10",0,2010-09-01
"435","fa10-01-05","fa10-01-33",0,2010-09-01
"436","fa10-01-05","fa10-01-77",0,2010-09-01
"437","fa10-01-05","sp10-01-22",0,2010-09-01
"438","fa10-01-05","fa10-01-16",0,2010-09-01
"439","fa10-01-05","fa10-01-36",0,2010-09-01
"440","fa10-01-05","fa10-01-08",0,2010-09-01
"441","fa10-01-05","fa10-01-46",0,2010-09-01
"442","fa10-01-05","fa10-01-41",0,2010-09-01
"443","fa10-01-05","fa10-01-22",0,2010-09-01
"444","fa10-01-05","sp10-01-25",0,2010-09-01
"445","fa10-01-05","fa10-01-51",0,2010-09-01
"446","fa10-01-05","fa10-01-23",0,2010-09-01
"447","fa10-01-05","sp10-01-18",2,2010-09-01
"448","fa10-01-05","fa10-01-12",0,2010-09-01
"449","fa10-01-05","fa10-01-64",0,2010-09-01
"450","fa10-01-05","sp10-01-52",0,2010-09-01
"451","fa10-01-05","sp10-01-31",1,2010-09-01
"452","fa10-01-05","sp10-01-45",2,2010-09-01
"453","fa10-01-05","fa10-01-70",0,2010-09-01
"454","fa10-01-05","fa10-01-63",0,2010-09-01
"455","fa10-01-05","sp10-01-56",0,2010-09-01
"456","fa10-01-05","fa10-01-54",0,2010-09-01
"457","fa10-01-05","fa10-01-72",0,2010-09-01
"458","fa10-01-05","fa10-01-03",0,2010-09-01
"459","fa10-01-05","fa10-01-38",0,2010-09-01
"460","fa10-01-05","fa10-01-37",0,2010-09-01
"461","fa10-01-05","sp10-01-49",0,2010-09-01
"462","fa10-01-05","sp10-01-48",0,2010-09-01
"463","fa10-01-05","fa10-01-53",0,2010-09-01
"464","fa10-01-05","sp10-01-02",0,2010-09-01
"465","fa10-01-05","fa10-01-49",0,2010-09-01
